Models,Dataset,R-sq,RMSE,MAE
Linear Regression,Training,0.3325062482728235,28.147781134154126,8.020357348705645
Linear Regression,Testing,0.33674525401131106,28.084797730668377,7.868864581267071
Random Forest,Training,0.8250282584338946,14.41134517609539,3.4168367745375856
Random Forest,Testing,0.6975120415398769,18.96641122715064,3.7706734214106525
Neural Network,Training,0.6684192570199406,19.83879150673259,4.49006115772381
Neural Network,Testing,0.6409418687893985,20.663957518544112,4.532082143881004
KNN,Training,0.8478314829294298,13.439495532541702,2.0097128908795754
KNN,Testing,0.45144428629538313,25.541211227475667,4.235450086539153
